,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
0,68.95,35.0,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,0,Tunisia,27/3/2016 0:53,0
1,80.23,31.0,68441.85,193.77,Monitored national standardization,West Jodi,1,Nauru,4/4/2016 1:39,0
2,69.47,26.0,59785.94,236.5,Organic bottom-line service-desk,Davidton,0,San Marino,13/3/2016 20:35,0
3,74.15,29.0,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,10/1/2016 2:31,0
4,68.37,35.0,73889.99,225.58,Robust logistical utilization,South Manuel,0,Iceland,3/6/2016 3:36,0
5,59.99,23.0,59761.56,226.74,Sharable client-driven software,Jamieberg,1,Norway,19/5/2016 14:30,0
6,88.91,33.0,53852.85,208.36,Enhanced dedicated support,Brandonstad,0,Myanmar,28/1/2016 20:59,0
7,66.0,48.0,24593.33,131.76,Reactive local challenge,Port Jefferybury,1,Australia,7/3/2016 1:40,1
8,74.53,30.0,68862.0,221.51,Configurable coherent function,West Colin,1,Grenada,18/4/2016 9:33,0
9,69.88,20.0,55642.32,183.82,Mandatory homogeneous architecture,Ramirezton,1,Ghana,11/7/2016 1:42,0
10,47.64,49.0,45632.51,122.02,Centralized neutral neural-net,West Brandonton,0,Qatar,16/3/2016 20:19,1
11,83.07,37.0,62491.01,230.87,Team-oriented grid-enabled Local Area Network,East Theresashire,1,Burundi,8/5/2016 8:10,0
12,69.57,48.0,51636.92,113.12,Centralized content-based focus group,West Katiefurt,1,Egypt,3/6/2016 1:14,1
13,79.52,24.0,51739.63,214.23,Synergistic fresh-thinking array,North Tara,0,Bosnia and Herzegovina,20/4/2016 21:49,0
14,42.95,33.0,30976.0,143.56,Grass-roots coherent extranet,West William,0,Barbados,24/3/2016 9:31,1
15,63.45,23.0,52182.23,140.64,Persistent demand-driven interface,New Travistown,1,Spain,9/3/2016 3:41,1
16,55.39,37.0,23936.86,129.41,Customizable multi-tasking website,West Dylanberg,0,Palestinian Territory,30/1/2016 19:20,1
17,82.03,41.0,71511.08,187.53,Intuitive dynamic attitude,Pruittmouth,0,Afghanistan,2/5/2016 7:00,0
18,54.7,36.0,31087.54,118.39,Grass-roots solution-oriented conglomeration,Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),13/2/2016 7:53,1
19,74.58,40.0,23821.72,135.51,Advanced 24/7 productivity,Millertown,1,Russian Federation,27/2/2016 4:43,1
20,77.22,30.0,64802.33,224.44,Object-based reciprocal knowledgebase,Port Jacqueline,1,Cameroon,5/1/2016 7:52,0
21,84.59,35.0,60015.57,226.54,Streamlined non-volatile analyzer,Lake Nicole,1,Cameroon,18/3/2016 13:22,0
22,41.49,52.0,32635.7,164.83,Mandatory disintermediate utilization,South John,0,Burundi,20/5/2016 8:49,1
23,87.29,36.0,61628.72,209.93,Future-proofed methodical protocol,Pamelamouth,1,Korea,23/3/2016 9:43,0
24,41.39,41.0,68962.32,167.22,Exclusive neutral parallelism,Harperborough,0,Tokelau,13/6/2016 17:27,1
25,78.74,28.0,64828.0,204.79,Public-key foreground groupware,Port Danielleberg,1,Monaco,27/5/2016 15:25,0
26,48.53,28.0,38067.08,134.14,Ameliorated client-driven forecast,West Jeremyside,1,Tuvalu,8/2/2016 10:46,1
27,51.95,52.0,58295.82,129.23,Monitored systematic hierarchy,South Cathyfurt,0,Greece,19/7/2016 8:32,1
28,70.2,34.0,32708.94,119.2,Open-architected impactful productivity,Palmerside,0,British Virgin Islands,14/4/2016 5:08,1
29,76.02,22.0,46179.97,209.82,Business-focused value-added definition,West Guybury,0,Bouvet Island (Bouvetoya),27/1/2016 12:38,0
30,67.64,35.0,51473.28,267.01,Programmable asymmetric data-warehouse,Phelpschester,1,Peru,2/7/2016 20:23,0
31,86.41,28.0,45593.93,207.48,Digitized static capability,Lake Melindamouth,1,Aruba,1/3/2016 22:13,0
32,59.05,57.0,25583.29,169.23,Digitized global capability,North Richardburgh,1,Maldives,15/7/2016 5:05,1
33,55.6,23.0,30227.98,212.58,Multi-layered 4thgeneration knowledge user,Port Cassie,0,Senegal,14/1/2016 14:00,1
34,57.64,57.0,45580.92,133.81,Synchronized dedicated service-desk,New Thomas,1,Dominica,15/3/2016 3:12,1
35,84.37,30.0,61389.5,201.58,Synchronized systemic hierarchy,Johnstad,0,Luxembourg,12/4/2016 3:26,0
36,62.26,53.0,56770.79,125.45,Profound stable product,West Aprilport,1,Montenegro,7/4/2016 15:18,1
37,65.82,39.0,76435.3,221.94,Reactive demand-driven capacity,Kellytown,0,Ukraine,9/2/2016 5:28,0
38,50.43,46.0,57425.87,119.32,Persevering needs-based open architecture,Charlesport,1,Saint Helena,7/5/2016 17:11,1
39,38.93,39.0,27508.41,162.08,Intuitive exuding service-desk,Millerchester,0,Liberia,11/3/2016 6:49,1
40,84.98,29.0,57691.95,202.61,Innovative user-facing extranet,Mackenziemouth,0,Russian Federation,27/4/2016 9:27,0
41,64.24,30.0,59784.18,252.36,Front-line intermediate database,Zacharystad,0,Tunisia,16/4/2016 11:53,0
42,82.52,32.0,66572.39,198.11,Persevering exuding system engine,North Joshua,1,Turkmenistan,8/5/2016 15:38,0
43,81.38,31.0,64929.61,212.3,Balanced dynamic application,Bowenview,0,Saint Helena,8/2/2016 0:23,0
44,80.47,25.0,57519.64,204.86,Reduced global support,Jamesberg,0,Niger,11/2/2016 13:26,0
45,37.68,52.0,53575.48,172.83,Organic leadingedge secured line,Lake Cassandraport,1,Turkmenistan,17/2/2016 13:16,1
46,69.62,20.0,50983.75,202.25,Business-focused encompassing neural-net,New Sharon,1,Qatar,26/2/2016 22:46,0
